"b","error","id"
-5.46726470681953,0.489657919821296,"I1"
-21.5561199035191,0.686549014818677,"I2"
-21.7936365047761,0.691886771261298,"I3"
-36.5178611509737,1.23861306393487,"I4"
4.36737576416309,0.49002219750029,"I5"
-3.20116849928466,0.482784593928779,"I6"
-24.5770574128584,0.761236328711623,"I7"
-2.6894439983618,0.481824963757192,"I8"
-30.1871867635857,0.944429486974307,"I9"
12.3981248039615,0.548839095617552,"I10"
-15.1941400548383,0.573255983796212,"I11"
-9.3863646425712,0.512152042553347,"I12"
-28.5204640477556,0.883309065489662,"I13"
-11.9556727691447,0.534796701401049,"I14"
3.22465060436441,0.486009650036833,"I15"
2.77707952482244,0.484721111158784,"I16"
9.73347307114728,0.523126257096071,"I17"
-0.0566438100668364,0.480245584594709,"I18"
2.5658662874629,0.484168203279403,"I19"
-2.80556988485078,0.482023875605484,"I20"
